manifest_key	artifact_group	path	exists	path_type	size_bytes	rows_keys_or_children
claim_a_kmeans_topology_current_build_dir	claim_a	results/method4_claim_a_partition_family_build_20260709/kmeans_topology_46_oracle_ef400/20260709_092502	yes	dir	NA	5
claim_a_kmeans_topology_current_build_summary_json	claim_a	results/method4_claim_a_partition_family_build_20260709/kmeans_topology_46_oracle_ef400/20260709_092502/summary.json	yes	json	4707	50
claim_a_kmeans_topology_current_builds_csv	claim_a	results/method4_claim_a_partition_family_build_20260709/kmeans_topology_46_oracle_ef400/20260709_092502/builds.csv	yes	csv	322	1
claim_a_kmeans_topology_current_latency_batches_csv	claim_a	results/method4_claim_a_partition_online_latency_20260709/kmeans_topology_46_ef400build/analysis_20260709_093136/claim_d_high_recall_latency_batches.csv	yes	csv	11185	90
claim_a_kmeans_topology_current_latency_dir	claim_a	results/method4_claim_a_partition_online_latency_20260709/kmeans_topology_46_ef400build/analysis_20260709_093136	yes	dir	NA	3
claim_a_kmeans_topology_current_latency_metadata_json	claim_a	results/method4_claim_a_partition_online_latency_20260709/kmeans_topology_46_ef400build/analysis_20260709_093136/run_metadata.json	yes	json	1279	29
claim_a_kmeans_topology_current_latency_summary_csv	claim_a	results/method4_claim_a_partition_online_latency_20260709/kmeans_topology_46_ef400build/analysis_20260709_093136/claim_d_high_recall_latency_summary.csv	yes	csv	1922	6
claim_a_kmeans_topology_load_recalibrated_current_build_dir	claim_a	results/method4_claim_a_partition_family_build_20260709/kmeans_topology_load_recalibrated_46_oracle_ef400/20260709_093432	yes	dir	NA	5
claim_a_kmeans_topology_load_recalibrated_current_build_summary_json	claim_a	results/method4_claim_a_partition_family_build_20260709/kmeans_topology_load_recalibrated_46_oracle_ef400/20260709_093432/summary.json	yes	json	4756	50
claim_a_kmeans_topology_load_recalibrated_current_builds_csv	claim_a	results/method4_claim_a_partition_family_build_20260709/kmeans_topology_load_recalibrated_46_oracle_ef400/20260709_093432/builds.csv	yes	csv	340	1
claim_a_kmeans_topology_load_recalibrated_current_latency_batches_csv	claim_a	results/method4_claim_a_partition_online_latency_20260709/kmeans_topology_load_recalibrated_46_ef400build/analysis_20260709_094451/claim_d_high_recall_latency_batches.csv	yes	csv	12801	90
claim_a_kmeans_topology_load_recalibrated_current_latency_dir	claim_a	results/method4_claim_a_partition_online_latency_20260709/kmeans_topology_load_recalibrated_46_ef400build/analysis_20260709_094451	yes	dir	NA	3
claim_a_kmeans_topology_load_recalibrated_current_latency_metadata_json	claim_a	results/method4_claim_a_partition_online_latency_20260709/kmeans_topology_load_recalibrated_46_ef400build/analysis_20260709_094451/run_metadata.json	yes	json	1333	29
claim_a_kmeans_topology_load_recalibrated_current_latency_summary_csv	claim_a	results/method4_claim_a_partition_online_latency_20260709/kmeans_topology_load_recalibrated_46_ef400build/analysis_20260709_094451/claim_d_high_recall_latency_summary.csv	yes	csv	1992	6
claim_a_partition_family_build_root_20260709	claim_a	results/method4_claim_a_partition_family_build_20260709	yes	dir	NA	5
claim_a_partition_family_current_rebuilds_20260709_csv	claim_a	results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_partition_family_current_rebuilds_20260709.csv	yes	csv	2874	3
claim_a_partition_family_online_coverage_audit_csv	claim_a	results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_partition_family_online_coverage_audit.csv	yes	csv	6128	7
claim_a_partition_online_latency_root	claim_a	results/method4_claim_a_partition_online_latency_20260704	yes	dir	NA	6
claim_a_partition_online_latency_root_20260709	claim_a	results/method4_claim_a_partition_online_latency_20260709	yes	dir	NA	4
claim_a_partition_online_latency_script	claim_a	tools/method4_claim_a_online_latency_summary.py	yes	py	27128	NA
