序号	Claim	支撑级别	数据组	是否进入图表	支撑/使用方式	安全论述
1	A	partial	orion_vs_simple_kmeans_same_avg_ef	是	Use as the main online Claim A routing-efficiency statement.	At matched Recall@10 targets and similar average EF per visited shard, Orion reaches similar recall while visiting fewer shards and having higher QPS than Simple KMeans nprobe.
2	A	partial	partition_oracle_topology_locality	是	Use for topology-convergence mechanism wording only.	Topology convergence improves offline locality over balanced KMeans-only on edge cut, GT-shard entropy, and routed shard count at upper_k 80/120/160.
3	A	partial	partition_online_latency_submatrix	是	Use as online latency evidence for the current Claim A scope with explicit rebuild and no-overclaim caveats.	Existing full-fission/balanced-KMeans rows and 2026-07-09 current-harness random/topology/load-recalibrated rebuild rows reduce tail latency versus paired naive near the 0.95 operating region.
4	A	partial	topology_no_fission_selected_cell	是	Use to explain topology/no-fission tradeoff.	The selected topology/no-fission online cell visits fewer shards than full fission at similar recall, but is slightly slower and has slightly worse tail latency.
5	A	partial	partition_family_coverage_audit	否：审计/完成状态	Use to state that the current-scope Claim A online-row gap is closed with caveats.	The previously missing Claim A random/topology/load-recalibrated online rows are now available as 2026-07-09 current-harness rebuilds, while strict stronger wording still has caveats.
6	A	partial_current_scope	partition_family_current_rebuilds_20260709	是	Use as the direct provenance row for the newly completed Claim A family online latency cells.	The 2026-07-09 current-harness rebuilds fill the previously missing random, topology, and load-recalibrated Claim A online latency cells.
7	B	complete	multi_assignment_online_frontier	是	Use as Claim B online frontier evidence with stability caveat.	Under expansion at or below about 2x, Orion multi-assignment improves the online recall-QPS frontier versus the 2026-07-13 retested no-multi-assignment orion_single baseline.
8	B	complete	multi_assignment_oracle_miss	是	Use as the routing-miss mechanism proof for Claim B.	Orion default and w2c2 reduce offline oracle_gt_miss@10 versus single assignment at upper_k 80/120/160.
9	C	supported_with_batch_latency_supplement	dynamic_vs_fixed_same_recall	是	Use as the main Claim C efficiency statement.	Dynamic EF improves same-recall QPS and reduces estimated lower EF-sum/query compared with fixed EF in Orion Claim C ablations.
10	C	supported_with_batch_latency_supplement	routed_ep_relevance_proxy	是	Use as the mechanism proof for Claim C.	Routed entry-point count is a useful shard relevance proxy: GT-hit shards have far higher routed EP count than non-hit shards and receive larger Dynamic EF budget share.
11	C	supported_with_batch_latency_supplement	dynamic_vs_fixed_batch_latency	是	Use for batch P95/P99 wording only.	At the selected 0.95 operating point, Dynamic EF improves client-observed batch latency versus fixed EF with the same visited-shard count.
12	D	partial_high_recall_caveat	method4_vs_naive_095	是	Use as 0.95 Claim D support.	At Recall@10 around 0.95, Method4 has higher same-recall QPS and visits fewer shards than naive.
13	D	partial_high_recall_caveat	method4_vs_naive_097_latency	是	Use as the strongest high-recall Claim D row.	At Recall@10 around 0.97, Method4 improves QPS and client-observed P95/P99 versus naive while visiting fewer shards.
14	D	partial_high_recall_caveat	method4_vs_naive_batch200_high_recall	是	Use to satisfy the Claim D high-recall batch_size=200 experiment shape and to discuss the planned baseline-instability reporting caveat.	At batch=200, the selected about-0.97 Method4 high-recall configuration preserves the Claim D QPS/tail advantage versus Naive, while the selected about-0.99 row remains below Recall@10 0.99 and below paired Naive recall.
15	D	partial_high_recall_caveat	method4_vs_naive_097_closest_robustness	是	Use as additional robustness support for Claim D through the ~0.97 neighborhood, with explicit target-neighborhood caveat.	An additional Recall@10 about 0.97 closest-neighborhood Method4 configuration keeps the Method4-vs-naive QPS and P95/P99 advantage under original order, two shuffled-query seeds, and cold/no-warmup matched-window evaluation.
16	D	partial_high_recall_caveat	method4_vs_naive_099_caveat	是	Use as the 0.99 caveat.	The current evidence does not support a strong Method4 dominance claim at Recall@10 around 0.99.
