order	chart_id	title	section	path	rows_including_header	data_rows	columns	all_rows_same_columns
1	INDEX	0. Claim 支撑数据总索引	0. Claim 支撑数据总索引	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/01_INDEX_0._Claim_支撑数据总索引.tsv	48	47	7	True
2	NAIVE_AUDIT	0.1 Naive 覆盖审计（三种分片/路由方式）	0.1 Naive 覆盖审计（三种分片/路由方式）	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/02_NAIVE_AUDIT_0.1_Naive_覆盖审计（三种分片_路由方式）.tsv	10	9	6	True
3	A-01	Orion vs Simple KMeans vs Naive：相近召回目标下的在线效率	Claim A：拓扑/分区感知路由能提升局部性和在线效率	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/03_A-01_Orion_vs_Simple_KMeans_vs_Naive：相近召回目标下的在线效率.tsv	13	12	7	True
4	A-02	分区族 oracle 局部性矩阵	Claim A：拓扑/分区感知路由能提升局部性和在线效率	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/04_A-02_分区族_oracle_局部性矩阵.tsv	19	18	8	True
5	A-03	分区族在线 latency 子矩阵 delta	Claim A：拓扑/分区感知路由能提升局部性和在线效率	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/05_A-03_分区族在线_latency_子矩阵_delta.tsv	9	8	10	True
6	A-04	2026-07-09 当前 harness 分区族补充行	Claim A：拓扑/分区感知路由能提升局部性和在线效率	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/06_A-04_2026-07-09_当前_harness_分区族补充行.tsv	4	3	16	True
7	B-01	Multi-assignment recall-QPS frontier + Naive all-shards baseline	Claim B：Multi-assignment 改善 recall-QPS frontier 并降低 oracle GT miss	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/07_B-01_Multi-assignment_recall-QPS_frontier_+_Naive_all-shards_baseline.tsv	37	36	8	True
8	B-02	Multi-assignment oracle GT miss + Naive all-shards reference	Claim B：Multi-assignment 改善 recall-QPS frontier 并降低 oracle GT miss	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/08_B-02_Multi-assignment_oracle_GT_miss_+_Naive_all-shards_reference.tsv	13	12	7	True
9	B-03	严格 multi-assignment selected latency cells	Claim B：Multi-assignment 改善 recall-QPS frontier 并降低 oracle GT miss	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/09_B-03_严格_multi-assignment_selected_latency_cells.tsv	4	3	10	True
10	C-01a	Dynamic EF vs Fixed EF：same/near-same recall summary	Claim C：Dynamic EF 在相同/近似召回下提升预算效率和 batch tail latency	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/10_C-01a_Dynamic_EF_vs_Fixed_EF：same_near-same_recall_summary.tsv	7	6	7	True
