chart_id	table_title	section	supports_claim	recommended_chart	excel_plot_settings	source_paths_or_files	caveat_or_boundary	tsv_data_blocks_in_section
A-01	Orion vs Simple KMeans vs Naive：相近召回目标下的在线效率	Claim A：拓扑/分区感知路由能提升局部性和在线效率	在 0.80/0.85/0.90/0.95 目标附近，Orion、Simple KMeans 和 Naive hash all-shards 三种分片/路由方式可以同表比较；Naive 固定访问全部 46 个 lower shards，作为全分片搜索基线。	按目标召回分组的簇状柱形图；QPS 与 visited shards 可分成两张图，Recall@10 用折线标注。	X 轴=目标召回 + 方法；建议系列=Recall@10, QPS, 平均访问shards, EF-sum/query。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_route_family_three_way_online_targets_20260709.csv；原 Orion/Simple 来源 results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_online_orion_vs_simple_kmeans_same_avg_ef.csv；Naive 来源 results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_method4_vs_naive_same_recall.csv	Naive 行是 hash 分散、全 46 分片搜索的基线；A-01 现在用于三种 route-family 的 target-neighborhood 在线效率图，绘图时保留 Recall@10。	1
A-02	分区族 oracle 局部性矩阵	Claim A：拓扑/分区感知路由能提升局部性和在线效率	Topology convergence 相比 balanced KMeans-only 降低 edge cut、GT-shard entropy 和 routed shard count；random/naive 用作弱局部性对照。	折线图或簇状柱形图；每个分区族一条线，分别画 routed shards、GT miss、entropy、edge cut。	X 轴=upper_k；建议系列=平均routed shards, oracle GT miss@10, GT shard entropy, topology edge cut。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_partition_oracle_matrix.csv	只支持拓扑收敛的机制论述；当前 full-fission 不支持“全面优于 balanced KMeans-only”的强 oracle 论述。	1
A-03	分区族在线 latency 子矩阵 delta	Claim A：拓扑/分区感知路由能提升局部性和在线效率	已有 full-fission/balanced-KMeans 行和当前补充行在 0.95 附近相对 naive 降低 tail latency；topology/no-fission 显示“更少 visited 但不一定更快”的 tradeoff。	以对比项为 X 轴的柱形图；QPS delta、visited delta、P95/P99 delta 分面绘制。	X 轴=对比 + batch_size；建议系列=QPS变化(%), visited变化(%), P95变化(%), P99变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_partition_online_latency_submatrix_deltas.csv	部分行来自 2026-07-09 current-harness rebuild，不是 2026-07-04 oracle artifact 的逐字节 replay；negative/折中行要保留。	1
A-04	2026-07-09 当前 harness 分区族补充行	Claim A：拓扑/分区感知路由能提升局部性和在线效率	补齐 random_balanced_46、kmeans_topology_46、kmeans_topology_load_recalibrated_46 三个此前缺失的 Claim A 在线 latency cell。	簇状柱形图或 combo 图；每个分区族画 Method4/Naive QPS 与 P95/P99，Recall 作为标签。	X 轴=分区族；建议系列=Method4/Naive Recall, QPS, visited, P95/P99。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_partition_family_current_rebuilds_20260709.csv	这些行关闭当前 GloVe 范围的在线-row 缺口，但仍是 current-harness rebuild；load-recalibrated no-fission route map 与 topology route map 等价，仅权重重校准。	1
B-01	Multi-assignment recall-QPS frontier + Naive all-shards baseline	Claim B：Multi-assignment 改善 recall-QPS frontier 并降低 oracle GT miss	在 expansion <= 约 2x 时，Orion default / w2c2 相比 single assignment 提升在线 recall-QPS frontier；补充的 Naive hash all-shards 行给出第三种 route-family 的全分片搜索基线。	折线图；X 轴为目标召回，每个 strategy 一条 QPS 线；另画 Recall@10、visited shards 与 index expansion。	X 轴=目标召回；建议系列=最终Recall, QPS, 平均访问shards, EF-sum/query, index expansion。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_b_frontier_with_naive_all_shards_20260709.csv；B-01 orion_single rows replaced by 2026-07-13 target-recall formal retest: results/method4_claim_b_orion_single_target_retest_20260713/orion_single_target_retest_selected_20260713.csv；audit/excluded candidate: results/method4_claim_b_orion_single_target_retest_20260713/orion_single_target_retest_audit_20260713.csv；复测说明: docs/experiments/2026-07-13-method4-claim-b-orion-single-target-retest.md；原 Orion/Simple 来源 results/method4_claim_coverage_20260704/derived_claim_tables/claim_b_multiassign_expansion_qps.csv；Naive 来源 results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_method4_vs_naive_same_recall.csv	B-01 的 orion_single 四行已用 2026-07-13 无多分配 formal retest 替换；0.80 初选候选在 3000-query eval 中 Recall@10=0.79707，未达目标，已排除。Naive 行是全 46 分片搜索基线，不是 multi-assignment ablation；严格 latency 补充见 B-03。	1
B-02	Multi-assignment oracle GT miss + Naive all-shards reference	Claim B：Multi-assignment 改善 recall-QPS frontier 并降低 oracle GT miss	Orion default 和 w2c2 在 upper_k 80/120/160 上相对 single assignment 降低 oracle_gt_miss@10；补充的 Naive all-shards 行给出“搜索全部分片时 oracle miss 为 0”的全分片参考基线。	折线图；X 轴 upper_k，每个 strategy 一条 miss@10 线；coverage 可单独画，Naive 行可用虚线或灰色 reference 标记。	X 轴=upper_k；建议系列=oracle GT miss@10, oracle GT coverage@10, index expansion。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_b_orion_oracle_gt_miss_with_naive_reference_20260709.csv；原 Orion 来源 results/method4_claim_coverage_20260704/derived_claim_tables/claim_b_orion_oracle_gt_miss.csv；Naive 参考来源 results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_partition_oracle_matrix.csv	Naive all-shards 行是全 46 分片搜索的 reference baseline，不是 multi-assignment 策略；它用于展示搜索全部分片的 oracle 上限和 routed-shard 代价。	1
B-03	严格 multi-assignment selected latency cells	Claim B：Multi-assignment 改善 recall-QPS frontier 并降低 oracle GT miss	在 0.95 目标邻域，default/w2c2 的 selected full-size latency cell 显示更高 QPS、更低 EF-sum 和更低 tail latency。	簇状柱形图；策略为 X 轴，QPS 和 P95/P99 分图；Recall 作为数据标签。	X 轴=策略；建议系列=Recall@10, QPS, visited, EF-sum, P95/P99, index expansion。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/strict_multiassign_latency_20260709.csv	这是 target-neighborhood latency evidence：single 高于 0.95，w2c2 略低于 0.95；不要写成严格 same-recall 全矩阵证明。	1
C-01	Dynamic EF vs Fixed EF：same/near-same recall 性能	Claim C：Dynamic EF 在相同/近似召回下提升预算效率和 batch tail latency	Dynamic EF 在三个 same/near-same recall 对比中提高 QPS 约 27-31%，并降低 EF-sum/query 约 35-41%。	分组柱形图；数据表 1 画 QPS/EF-sum，数据表 2 画 QPS变化和 EF-sum变化。	X 轴=对比 + 方法；建议系列=Recall@10, QPS, visited, EF-sum/query。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_c_dynamic_vs_fixed_performance_summary.csv；results/method4_claim_coverage_20260704/derived_claim_tables/claim_c_dynamic_vs_fixed_deltas.csv	这里的重点是 EF 预算效率，不要声称 Dynamic EF 总是减少 visited shards；frontier_097 的 visited 反而增加。	2
C-02	Dynamic EF batch latency supplement	Claim C：Dynamic EF 在相同/近似召回下提升预算效率和 batch tail latency	在 Recall@10 基本相同的 batch endpoint 补充实验中，Dynamic EF 提升 QPS、降低 EF-sum，并降低 P95/P99 batch latency。	单行 waterfall/柱形图；绘制 QPS变化、EF-sum变化、P95/P99变化。	X 轴=对比；建议系列=QPS变化(%), EF-sum变化(%), P95变化(%), P99变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_c_dynamic_vs_fixed_latency_deltas.csv	这是 client-observed batch endpoint wall time，不是 server-internal lower-search trace。	1
C-03	routed EP count 相关性/机制证据	Claim C：Dynamic EF 在相同/近似召回下提升预算效率和 batch tail latency	GT-hit shards 上的 routed EP count 高于非 hit shards，支持用 routed EP count 作为 Dynamic EF 预算分配的相关性代理。	柱形图；每个配置画 GT-hit vs non-hit EP count，也可画 budget share。	X 轴=配置；建议系列=GT-hit EP count, non-hit EP count, Dynamic/Fixed GT budget share。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_c_routed_ep_relevance_summary.csv	这是 relevance proxy 机制证据，不是独立的在线性能 A/B。	1
